id;slug;name;lat;lon;seo_title;seo_desc;h1_headline;spot_description;best_wind;danger_info
1;sylt-ellenbogen;Sylt - Ellenbogen (List);55.0514;8.4328;Kitespot Sylt Ellenbogen: ICON-D2 Windvorhersage & Guide;Aktuelle ICON-D2 Windvorhersage für den Kitespot Ellenbogen auf Sylt. Erfahre alles über das riesige Stehrevier, Gezeiten und Windrichtungen.;Kitesurfen am Ellenbogen (List auf Sylt);Der Ellenbogen in List auf Sylt ist eines der bekanntesten und schönsten Flachwasser-Mekkas in Deutschland. Das riesige, stehtiefe Revier bietet perfekte Bedingungen für Freerider, Anfänger und Freestyler bei konstantem Wind.;Der Spot funktioniert hervorragend bei Wind aus W, NW, N, NO und O. Bei südlichen Richtungen wird das Wasser extrem flach, der Wind aber ablandig und böig.;Achte unbedingt auf die starke Strömung im tiefen Fahrwasser hinter der Sandbank. Das Kiten im Fahrwasser selbst und in den ausgewiesenen Naturschutzzonen ist streng verboten. Zudem ist die Zufahrt mautpflichtig.
2;sylt-brandenburger-strand;Sylt - Brandenburger Strand (Westerland);54.9103;8.2952;Kitespot Sylt Westerland: ICON-D2 Wind & Wellen-Guide;ICON-D2 Windreport für den Brandenburger Strand in Westerland auf Sylt. Der anspruchsvolle Wellenspot für erfahrene Kitesurfer.;Kitesurfen am Brandenburger Strand (Westerland);Der Brandenburger Strand direkt vor der Promenade in Westerland ist ein anspruchsvoller Open-Ocean-Wellenspot. Hier bauen sich bei starkem Westwind massive Wellen und eine spürbare Strömung auf. Perfekt für Wave-Kiter und Fortgeschrittene.;Optimal bei Wind aus SW, W und NW (side-onshore bis onshore). Süd- oder Nordwind bringen harten Shorebreak und starke Strömungen parallel zum Strand.;Der Spot ist aufgrund von Buhnen, starker Brandung, Strömung und der direkten Nähe zur Buhnenkonstruktion absolut ungeeignet für Anfänger. Im Sommer herrscht reger Badebetrieb, die Zonenordnung ist strikt einzuhalten.
3;sylt-k4;Sylt - K4 (Hörnum);54.7950;8.2830;Kitespot Sylt K4 Hörnum: ICON-D2 Windvorhersage;Hochpräzise ICON-D2 Windvorhersage für den Kitespot K4 bei Hörnum auf Sylt. Alle Infos zu Wellenbild, Einstieg und Bedingungen vor Ort.;Kitesurfen am Spot K4 (Hörnum auf Sylt);Der Spot K4 liegt nördlich von Hörnum auf der Westseite der Insel. Es ist ein klassischer Nordsee-Wellenspot mit einer weitläufigen Sandbank, die je nach Gezeitenstand schöne brechende Wellen sauber sortiert. Der Strand bietet viel Platz zum Aufbauen.;Funktioniert am besten bei Wind aus Südwest, West und Nordwest. Bei reinem Süd- oder Nordwind weht es genau parallel zur Küstenlinie.;Die Strömungsverhältnisse an der Südspitze von Sylt sind extrem stark und dürfen niemals unterschätzt werden. Keine Stehreviere vorhanden, daher nur für erfahrene Kiter mit gutem Höhelaufen geeignet.
4;st-peter-ording-hauptstrand;St. Peter-Ording - Hauptstrand;54.3167;8.5812;Kitespot St. Peter-Ording Hauptstrand: ICON-D2 Wind;Aktueller ICON-D2 Windreport für den Hauptstrand in St. Peter-Ording. Das größte Kitesurf-Mekka Deutschlands mit riesiger Sandbank.;Kitesurfen in St. Peter-Ording (Hauptstrand / Bad);Der Hauptstrand von St. Peter-Ording (SPO) ist das unangefochtene Kitesurf-Zentrum der deutschen Nordseeküste. Die gigantische Sandbank bietet unendlich viel Platz. Je nach Tide bildet sich bei Flachwasser eine riesige Priele (Flachwasser-Lagune) oder offenes Wellenrevier.;Perfekt bei Wind aus SW, W und NW. Südwind und Nordwind wehen genau sideshore. Östliche Windrichtungen sind komplett ablandig und extrem gefährlich.;Bei Flut entsteht ein spürbarer Shorebreak an der Wasserkante. Achte auf die strikte Trennung der Kitesurf-, Windsurf- und Badezonen. Das Parken auf dem Strand ist kostenpflichtig und tideabhängig (Hochwasser beachten!).
5;st-peter-ording-suedstrand;St. Peter-Ording - Südstrand;54.2934;8.6141;Kitespot SPO Südstrand: ICON-D2 Vorhersage & Spotguide;ICON-D2 Wind- und Wetterdaten für den Südstrand (Dorf) in St. Peter-Ording. Die komfortable Flachwasser-Alternative bei Flut.;Kitesurfen am Südstrand in St. Peter-Ording;Der Südstrand im Ortsteil Dorf ist die etwas ruhigere Alternative zum riesigen Hauptstrand in SPO. Bei auflaufendem Wasser füllt sich das Becken vor dem Deich und bietet ein hervorragendes Freeride- und Anfängerrevier mit deutlich weniger Brandungswelle als im Norden.;Funktioniert am besten bei Wind aus Süd, Südwest und West. Bei Nordwestwind deckt das Dorf den Spot etwas ab, der Wind wird dann böig.;Der Spot ist stark tideabhängig und fällt bei Ebbe komplett trocken. Beim Einstieg muss auf Fußgänger auf der Seebrücke und Badegäste geachtet werden. Kitewiese direkt hinter dem Deich nutzen.
6;buesum-perlebucht;Büsum - Perlebucht;54.1415;8.8472;Kitespot Büsum Perlebucht: ICON-D2 Windvorhersage;Präzise ICON-D2 Winddaten für die Familienlagune Perlebucht in Büsum. Das tideunabhängige Stehrevier an der Nordsee.;Kitesurfen in der Familienlagune Büsum (Perlebucht);Die Perlebucht in Büsum ist ein künstlich angelegtes, vom offenen Meer abgetrenntes Becken. Dadurch ist der Spot im Gegensatz zur restlichen Nordsee komplett tideunabhängig und bietet ein dauerhaft stehtiefes Flachwasserrevier, das ideal für Anfänger und Freestyler ist.;Beste Windrichtungen sind Südwest, West und Nordwest. Da das Becken von Land umschlossen ist, sind alle anderen Richtungen sehr böig oder abgeschattet.;Aufgrund der begrenzten Größe des Beckens kann es an windigen Wochenenden extrem voll werden. Es gilt eine strikte Absprache und Rücksichtnahme zwischen Kiteschulen, Anfängern und Badegästen.
7;norderney-nordstrand;Norderney - Nordstrand;53.7145;7.1550;Kitespot Norderney Nordstrand: ICON-D2 Wind & Wellen;ICON-D2 Windvorhersage für den Nordstrand auf Norderney. Anspruchsvoller Nordsee-Wellenspot für fortgeschrittene Kiter.;Kitesurfen am Nordstrand von Norderney;Der Nordstrand von Norderney (nahe der Promenade / Cornelius) bietet bei starkem West- bis Nordwestwind erstklassige Bedingungen für Wellen-Liebhaber. Die Wellen brechen sauber über vorgelagerten Sandbänken, dazwischen gibt es Strömungen und tiefe Rinnen.;Optimal bei Wind aus SW, W, NW und N. Bei Ostwind weht es ablandig, was auf der offenen Nordsee extreme Gefahren birgt.;Kein Stehrevier vorhanden. Der Spot ist durch starke Gezeitenströmungen, Buhnenreste im Wasser und heftigen Shorebreak bei Flut nur für erfahrene Kitesurfer zu empfehlen. Badezonen beachten!
8;norderney-januskopf;Norderney - Januskopf;53.7170;7.1420;Kitespot Norderney Januskopf: ICON-D2 Live-Wind;Aktueller ICON-D2 Windreport für den Kitespot Januskopf auf Norderney. Offizieller Surfstrand mit exzellenter Infrastruktur.;Kitesurfen am Januskopf (Norderney);Der Januskopf ist der offizielle Surf- und Kitespot auf Norderney und liegt direkt westlich an den Nordstrand angrenzend. Hier befindet sich auch die lokale Surfschule. Der Spot bietet feinen Sandstrand und bei den richtigen Windbedingungen eine fantastische Brandungswelle.;Funktioniert perfekt bei Südwest, West und Nordwest. Nordwind steht genau onshore und drückt massiv gegen den Strand.;Bei Hochwasser bricht die Welle direkt auf den Strand (harter Shorebreak). Anfänger sollten das Revier nur in Absprache mit der örtlichen Station nutzen und die Strömungsrichtungen der Tidenwechsel im Auge behalten.
9;borkum-nordstrand;Borkum - Nordstrand;53.5995;6.6580;Kitespot Borkum Nordstrand: ICON-D2 Wind & Gezeiten;Hochauflösende ICON-D2 Windvorhersage für den Nordstrand auf Borkum. Riesiges Nordsee-Revier mit viel Platz.;Kitesurfen am Nordstrand auf Borkum;Der Nordstrand auf Borkum bietet Kitesurfern eine gigantische Sandfläche zum Aufbauen und Starten. Je nach Gezeitenstand verändert sich das Revier komplett: Bei Ebbe entstehen stehtiefe Priele und Flachwasserbereiche hinter den Sandbänken, bei Flut läuft eine ordentliche Nordseewelle ein.;Ausgezeichnet bei Wind aus Südwest, West, Nordwest und Nord. Bei östlichen Winden weht es böig über die Insel hinweg.;Durch die exponierte Lage weit draußen in der Deutschen Bucht sind Wind und Strömung hier oft ein Stück kräftiger als am Festland. Unbedingt auf die Schifffahrtswege und Gezeitenströme achten.
10;borkum-suedstrand;Borkum - Südstrand;53.5765;6.6850;Kitespot Borkum Südstrand: ICON-D2 Windvorhersage;Präziser ICON-D2 Windreport für den Südstrand auf Borkum. Die ruhigere Alternative mit Flachwasser bei Ebbe.;Kitesurfen am Südstrand auf Borkum;Der Südstrand auf Borkum ist landschaftlich wunderschön und deutlich geschützter als der raue Nordstrand. Bei auflaufendem Wasser bildet sich hier ein schönes Freeride-Revier. Der Strand bietet viel Platz zum sicheren Auf- und Abbauen des Materials.;Funktioniert gut bei Wind aus Süd, Südwest und West. Nordwestwind wird durch die Insel leicht abgedeckt und kommt etwas unkonstant.;Bei Ebbe fällt das Revier sehr weit trocken, sodass man weit laufen muss. Achte auf die Buhnen im Uferbereich und die Strömungen im angrenzenden Hauptfahrwasser der Emsmündung.
